,population,code_commune,lat,long,area,accident_num,length,ACCOTEMENT REVETU HORS CVCB,AMENAGEMENT MIXTES PIETON VELO HORS VOIE VERTE,AUTRE,BANDE CYCLABLE,CHAUSSEE A VOIE CENTRALE BANALISEE,COULOIR BUS+VELO,DOUBLE SENS CYCLABLE BANDE,DOUBLE SENS CYCLABLE NON MATERIALISE,DOUBLE SENS CYCLABLE PISTE,GOULOTTE,PISTE CYCLABLE,VELO RUE,VOIE VERTE
9664,505,74202,934487,6540459,415,0.0,4690.784914090391,0.0,4690.784914090391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9665,909,56241,230198,6713353,2264,0.0,1337.3632924670108,0.0,954.8659142167888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.4973782502221
9666,444,06132,1066599,6331502,8448,0.0,590.2666288876642,0.0,590.2666288876642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9667,186,39313,912717,6623541,1194,0.0,1396.981780829085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.981780829085,0.0,0.0
9668,283,07219,832090,6398479,706,0.0,907.7974236637136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.7974236637136,0.0,0.0
9669,4123,69292,845439,6526974,191,0.0,8769.75991317409,0.0,1351.8153277240217,31.219163396903525,945.038458873196,1061.8729219532624,0.0,0.0,463.5603354123666,0.0,0.0,3212.8144721277376,0.0,1703.4392336866008
9670,1030,01418,856651,6525737,510,0.0,2005.6854868556245,0.0,1145.4412992649443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.2441875906801,0.0,0.0
9671,2177,38464,885804,6496247,1220,0.0,2028.2311111817369,0.0,268.2920513420722,1144.081974058635,615.8570857810294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9672,4572,73029,929219,6499332,367,0.0,6004.297900699456,0.0,108.67574863555402,0.0,1997.0356860949544,0.0,0.0,0.0,415.5695179404507,0.0,0.0,3483.016948028496,0.0,0.0
9673,715,35321,358656,6767940,1056,0.0,1713.4881268214058,0.0,1604.1102997449611,109.3778270764446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9674,147,05013,931395,6375141,1969,0.0,1994.346596592921,0.0,1994.346596592921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9675,1145,37228,483188,6693392,3643,0.0,1343.9500248384356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.9500248384356,0.0,0.0
9676,568,14591,423392,6923202,590,0.0,3288.439366264087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3288.439366264087
9677,106,58150,745151,6693271,1072,0.0,1266.767843742151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.767843742151
9678,542,59407,732785,7020995,449,0.0,1327.7969280258008,0.0,0.0,1039.0395499941294,0.0,0.0,0.0,0.0,288.7573780316714,0.0,0.0,0.0,0.0,0.0
9679,688,87078,542919,6542463,2546,0.0,1142.1407532162334,0.0,1142.1407532162334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9680,1184,33106,450603,6389201,854,0.0,10412.202072023803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10412.202072023803,0.0,0.0
9681,858,87157,582270,6542425,2769,0.0,3957.2639989726367,0.0,3957.2639989726367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9682,656,86058,511394,6619176,1759,0.0,1084.7344775988706,0.0,1084.7344775988706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9683,1507,87192,564037,6517893,1682,0.0,185.6522124447941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.6522124447941
9684,654,24555,546696,6465988,2627,0.0,3832.742079490912,0.0,3832.742079490912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
